email,password,plan
demo@cafex.com,pbkdf2$8ceaef3abf1be72273b0aee38d661324$3e4010049a3845f4336e41e64eff9854a6564b6c1b53b1c052a3b4f65687d04d,free
smoketest@cafex.com,pbkdf2$270efa8594496ef86390827f50b01f89$d36cdb8ba12dba7b1fd160d16303428df8751b7dbe6d25b2732be3617252101a,free
smoketest2@cafex.com,pbkdf2$21db95348a515abcbbee5b3b6cb22871$a0b139d5e9a7d1f1bc97ad55a846f0244d32c3a45ad6a32f03f063af8b180866,free
seller@test.com,pbkdf2$cd7973602b3b3e542154974b61ca4a11$8932377d93983de538476d2ac595acb4f0109dc69020bea51f0a497b6921d80b,free
seller2@test.com,pbkdf2$070499e37d3637586acc648ee92044c4$f4bb6fa52ea8dba15b060cb70ff865c47697141044269ce26a0b5f15ea9bc7e4,free
pw_9c2b96a5@test.com,pbkdf2$a031f3f9768a27076029cb357433db7c$12b133d1bcfd86f8ca25de7df4747840beffee21d43dfee3317217d8a7fb5f73,free
pw_a3b4bc89@test.com,pbkdf2$843c974abbcb041ad24c678d902f79e7$f89b5a8294aa555cb650c3e3d183382673bc3525b5b3e08b6d92f897adfb76db,free
pw_e4818268@test.com,pbkdf2$096586d7ef91e1fd8f2176cfa58128c7$c3aaa8f5ee13a151a8ff8cc29740d3b8475b985d45236c36f8840cbb65641c0d,free
int_f91a1d64@t.com,pbkdf2$1d43ce6ad214641478b025c83bb27b9b$f0f66ae70a5b40227c2774e49f61b477f455fa335a74dec94034a16a3e2de6fe,free
pwt_57e3e8c2@t.com,pbkdf2$24a482f4d425a9e19fcf3ae01e355806$270b4d41718c963e2236f97465eb3299f7e86ba5d3e589416f0c7081dff9df1e,free
up_2544aa32@t.com,pbkdf2$ab1e83c59021952ea1064edae3396978$df2c39fc74d3b330c69b62bf52e5f231bbaf7b42adba979b9dfa2c204d26cca2,free
oa_6dbb3ea5@t.com,pbkdf2$0c2d4d1a7be0b2235571442b689d939f$fd5abee5a6c8584f1c35c6d02fef9f87dcdfd13da5db5d7655b523b8a0ebabdc,free
oa_2aa43f45@t.com,pbkdf2$e144b7b53c8bf7d39d8c1ca61de2051b$0cd5bca40393b841b17d8c611ee463247667d6b920b37d617c43ac38502b5acb,free
